idProductionEmployee	Name	id_ChiefWorkshop	id_Workshop
1	Беляков Влас Эльдарович	2	2
2	Бобров Илья Мэлорович	2	2
3	Горбачёв Адриан Кимович	2	2
4	Горбунов Самуил Константинович	2	2
5	Дементьев Аким Всеволодович	2	2
6	Дмитриев Пантелей Михаилович	1	3
7	Егоров Всеволод Кимович	3	1
8	Зыков Мирон Никитевич	3	1
9	Коновалов Осип Геннадиевич	2	2
10	Корнилов Августин Викторович	1	3
11	Кулагин Вальтер Иринеевич	2	2
12	Михайлов Лазарь Григорьевич	3	1
13	Мишин Игнатий Феликсович	2	2
14	Мишин Овидий Геласьевич	1	3
15	Мухин Виссарион Куприянович	2	2
16	Наумов Ермолай Дамирович	2	2
17	Никифоров Илларион Аркадьевич	1	3
18	Никонов Варлам Федосеевич	3	1
19	Панов Тимофей Сергеевич	3	1
20	Пестов Бронислав Германович	1	3
21	Рыбаков Устин Максович	1	3
22	Симонов Корнелий Богданович	1	3
23	Соколов Фрол Мэлсович	1	3
24	Федосеев Власий Геннадиевич	2	2
25	Филатов Захар Антонинович	1	3
26	Филиппов Болеслав Дмитриевич	1	3
27	Харитонов Карл Всеволодович	1	3
28	Шилов Варлаам Святославович	3	1
29	Шубин Самуил Андреевич	3	1
30	Щербаков Мечеслав Витальевич	2	2
